Year_Month,Fuel_Category,Zip_Code,Count
2020/07,Plug-in Hybrid,21111,15
2020/07,Plug-in Hybrid,21113,60
2020/07,Plug-in Hybrid,21114,41
2020/07,Plug-in Hybrid,21117,99
2020/07,Plug-in Hybrid,21120,14
2020/07,Plug-in Hybrid,21122,77
2020/07,Plug-in Hybrid,21128,28
2020/07,Plug-in Hybrid,21131,26
2020/07,Plug-in Hybrid,21132,1
2020/07,Plug-in Hybrid,21133,23
2020/07,Plug-in Hybrid,21136,65
2020/07,Plug-in Hybrid,21140,8
2020/07,Plug-in Hybrid,21144,64
2020/07,Plug-in Hybrid,21146,97
2020/07,Plug-in Hybrid,21152,18
2020/07,Plug-in Hybrid,21153,5
2020/07,Plug-in Hybrid,21154,3
2020/07,Plug-in Hybrid,21155,5
2020/07,Plug-in Hybrid,21157,40
2020/07,Plug-in Hybrid,21158,25
2020/07,Plug-in Hybrid,21160,1
2020/07,Plug-in Hybrid,21161,7
2020/07,Plug-in Hybrid,21162,6
2020/07,Plug-in Hybrid,21163,29
2020/07,Plug-in Hybrid,21201,19
2020/07,Plug-in Hybrid,21202,27
2020/07,Plug-in Hybrid,21204,61
2020/07,Plug-in Hybrid,21205,5
2020/07,Plug-in Hybrid,21206,21
2020/07,Plug-in Hybrid,21207,34
2020/07,Plug-in Hybrid,21208,77
2020/07,Plug-in Hybrid,21209,67
2020/07,Plug-in Hybrid,21210,53
2020/07,Plug-in Hybrid,21211,45
2020/07,Plug-in Hybrid,21212,81
2020/07,Plug-in Hybrid,21213,5
2020/07,Plug-in Hybrid,21214,35
2020/07,Plug-in Hybrid,21215,31
2020/07,Plug-in Hybrid,21216,11
2020/07,Plug-in Hybrid,21217,20
2020/07,Plug-in Hybrid,21218,61
2020/07,Plug-in Hybrid,21219,17
2020/07,Plug-in Hybrid,21220,31
2020/07,Plug-in Hybrid,21221,37
2020/07,Plug-in Hybrid,21222,39
2020/07,Plug-in Hybrid,21223,4
2020/07,Plug-in Hybrid,21224,63
2020/07,Plug-in Hybrid,21225,7
2020/07,Plug-in Hybrid,21226,4
2020/07,Plug-in Hybrid,21227,34
2020/07,Plug-in Hybrid,21228,94
2020/07,Plug-in Hybrid,21229,24
2020/07,Plug-in Hybrid,21230,62
2020/07,Plug-in Hybrid,21231,31
2020/07,Plug-in Hybrid,21234,63
2020/07,Plug-in Hybrid,21236,36
