,yoy_inflation,interest_rate,fuel_price,consumer_confidence,unemployment_rate,gdp_growth
2020-05-01,0.21621960391076112,0.05,0.997,98.65596,8.8,0.6623087013718881
2020-06-01,0.7017667595302868,0.08,1.212,98.60732,8.1,0.6579510344201571
2020-07-01,1.0187566946310067,0.09,1.29,98.62421,7.8,0.6536503352777339
2020-08-01,1.3005983533565635,0.1,1.284,98.82139,7.1,0.6494054940883
2020-09-01,1.373084272511016,0.09,1.256,99.12664,7.0,0.6452154296395021
2020-10-01,1.2031654060780772,0.09,1.227,99.27196,6.7,0.6410790884446915
2020-11-01,1.169540753609244,0.09,1.196,99.22985,6.6,0.6369954438597479
2020-12-01,1.3049530216912242,0.09,1.333,99.23284,6.7,0.6329634952337999
2021-01-01,1.3951009246599089,0.09,1.516,99.23878,6.4,0.6289822670916423
2021-02-01,1.6729284154818336,0.08,1.711,99.37518,6.2,0.6184951332129499
2021-03-01,2.6186325779585795,0.07,1.933,99.73307,6.0,0.6146932851600483
2021-04-01,4.148739292379555,0.07,1.937,99.97179,5.9,0.6109378909677967
2021-05-01,4.926362527750849,0.06,2.092,99.91441,5.7,0.607228104393426
2021-06-01,5.315092372103147,0.08,2.13,99.70934,5.7,0.6035630996247564
2021-07-01,5.25757716479367,0.1,2.204,99.25195,5.5,0.5999420706671105
2021-08-01,5.175312107215291,0.09,2.156,98.69581,5.3,0.596364230752404
2021-09-01,5.361010344257178,0.08,2.189,98.40384,4.8,0.592828811769404
2021-10-01,6.219044069333601,0.08,2.404,98.22147,4.5,0.5893350637138737
2021-11-01,6.862530903236941,0.08,2.4,98.06284,4.1,0.5858822541580184
2021-12-01,7.176580599606885,0.08,2.24,97.96371,3.7,0.5824696677388831
2022-01-01,7.5697666445729395,0.08,2.347,97.73397,3.7,0.5790966056640093
2022-02-01,7.948919315737357,0.08,2.572,97.4334,3.4,0.55832029993513
2022-03-01,8.547431203050081,0.2,3.115,97.20119,3.2,0.5552203917784395
2022-04-01,8.251859404990402,0.33,,97.03862,3.1,0.5521547161999671
2022-05-01,8.532996587844366,0.77,,96.641,3.1,0.5491227092630103
2022-06-01,8.989743741317646,1.21,,96.24303,3.2,0.5461238193502754
2022-07-01,8.449818746001725,1.68,,96.21596,3.2,0.5431575068289056
2022-08-01,8.218806476800754,2.33,,96.47675,3.4,0.5402232437269562
2022-09-01,8.19827154994579,2.56,,96.6918,3.2,0.5373205134201475
2022-10-01,7.7519407887596925,3.08,,96.80476,3.2,0.5344488103285341
2022-11-01,7.119465995215202,3.78,,96.86853,3.1,0.531607639622942
2022-12-01,6.411498247913161,4.1,,97.08541,3.0,0.5287965169408131
2023-01-01,6.362123304649603,4.33,,97.36658,3.0,0.5260149681108898
2023-02-01,5.965522694923298,4.57,,97.48019,2.9,
2023-03-01,4.935090226845151,4.65,,97.37041,2.7,
2023-04-01,4.941059134795189,4.83,,97.27934,2.5,
2023-05-01,4.120689595996696,5.06,,97.27999,2.4,
2023-06-01,3.053261739142221,5.08,,97.56742,2.0,
2023-07-01,3.271780511700917,5.12,,97.90488,1.8,
2023-08-01,3.718721312697104,5.33,,97.94846,1.7,
2023-09-01,3.6940551594278226,5.33,,97.76891,1.6,
2023-10-01,3.2457874929078256,5.33,,97.56094,1.7,
2023-11-01,3.1394819319064515,5.33,,97.63428,1.8,
2023-12-01,3.3231597124613543,5.33,,98.151,1.9,
