,date,total_cars_sold,seasonal_values,deseasonlised_cars_sold
235,2021-08-01,80513,7201.662878787873,73311.33712121213
236,2021-09-01,74979,2246.571969696961,72732.42803030304
237,2021-10-01,72888,712.9810606060637,72175.01893939394
238,2021-11-01,67787,-9752.42803030304,77539.42803030304
239,2021-12-01,65489,-11131.382575757583,76620.38257575758
240,2022-01-01,59657,-7884.609848484848,67541.60984848485
241,2022-02-01,68211,-11809.382575757583,80020.38257575758
242,2022-03-01,83601,8072.071969696961,75528.92803030304
243,2022-04-01,75426,5053.026515151505,70372.9734848485
244,2022-05-01,74535,4876.617424242417,69658.38257575758
245,2022-06-01,70783,7374.571969696961,63408.42803030304
246,2022-07-01,71296,5040.29924242424,66255.70075757576
247,2022-08-01,72455,7201.662878787873,65253.33712121213
248,2022-09-01,71239,2246.571969696961,68992.42803030304
249,2022-10-01,69580,712.9810606060637,68867.01893939394
250,2022-11-01,64462,-9752.42803030304,74214.42803030304
251,2022-12-01,63931,-11131.382575757583,75062.38257575758
252,2023-01-01,66580,-7884.609848484848,74464.60984848485
253,2023-02-01,65213,-11809.382575757583,77022.38257575758
254,2023-03-01,81580,8072.071969696961,73507.92803030304
255,2023-04-01,74148,5053.026515151505,69094.9734848485
256,2023-05-01,79788,4876.617424242417,74911.38257575758
257,2023-06-01,77614,7374.571969696961,70239.42803030304
258,2023-07-01,75862,5040.29924242424,70821.70075757576
259,2023-08-01,78601,7201.662878787873,71399.33712121213
260,2023-09-01,69278,2246.571969696961,67031.42803030304
261,2023-10-01,69248,712.9810606060637,68535.01893939394
262,2023-11-01,64980,-9752.42803030304,74732.42803030304
263,2023-12-01,66566,-11131.382575757583,77697.38257575758
